1,21,105,105,70,420,210,280,210,630,420,504,504,840,720
(),(12),(12)(34),(12)(34)(56),(123),(123)(45),(123)(45)(67),(123)(456),(1234),(1234)(56),(1234)(567),(12345),(12345)(67),(123456),(1234567)
1,-1,1,-1,1,-1,1,1,-1,1,-1,1,-1,-1,1
6,-4,2,0,3,-1,-1,0,-2,0,1,1,1,0,-1
14,-6,2,-2,2,0,2,-1,0,0,0,-1,-1,1,0
14,-4,2,0,-1,-1,-1,2,2,0,-1,-1,1,0,0
15,-5,-1,3,3,1,-1,0,-1,-1,-1,0,0,0,1
35,-5,-1,-1,-1,1,-1,-1,1,1,1,0,0,-1,0
21,-1,1,3,-3,-1,1,0,1,-1,1,1,-1,0,0
21,1,1,-3,-3,1,1,0,-1,-1,-1,1,1,0,0
20,0,-4,0,2,0,2,2,0,0,0,0,0,0,-1
35,5,-1,1,-1,-1,-1,-1,-1,1,-1,0,0,1,0
14,4,2,0,-1,1,-1,2,-2,0,1,-1,-1,0,0
15,5,-1,-3,3,-1,-1,0,1,-1,1,0,0,0,1
14,6,2,2,2,0,2,-1,0,0,0,-1,1,-1,0
6,4,2,0,3,1,-1,0,2,0,-1,1,-1,0,-1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
